system:index,date,mean_ndvi,urban_area_m2,vegetation_area_m2,water_area_m2,.geo
LC08_039035_20170814,2017-08-14,0.08856052184578303,6276371.340844726,3331293.5889282227,2.0389314526210195E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20170915,2017-09-15,0.0803320065679113,5891865.945742858,3271210.345470473,2.4390924801754317E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20171001,2017-10-01,0.07940341091686452,5424345.561608886,3333999.8243408203,2.3658552609599227E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20171017,2017-10-17,0.07650444365350917,3559570.031616211,2777889.035949707,2.1673283356909016E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20171118,2017-11-18,0.05682145412835795,8282377.0876479205,3310815.307400094,2.672491680278514E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20180105,2018-01-05,0.05336530842798016,7930971.799018411,2149803.3131713867,2.885054124878776E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20180121,2018-01-21,0.06419901672186487,7159944.184682809,1836657.6513061523,2.7591351070846015E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20180206,2018-02-06,0.07817430790979588,5079154.3807392195,1758374.8169555664,2.5729387364805162E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20180411,2018-04-11,0.10311383540003163,3348715.162739114,2729320.60357666,2.3310610402986604E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20180427,2018-04-27,0.08831872972983398,4323039.879313391,2985788.6170654297,2.2402300084590608E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20180529,2018-05-29,0.07908097026110666,4870883.435223747,3190964.817565918,2.0119616362875068E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20180614,2018-06-14,0.09241655602126832,4790818.953046013,2989403.1845703125,1.8460163746350337E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20180630,2018-06-30,0.08563106165126666,4620872.61521427,2848120.4701538086,1.4364515013218254E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20180801,2018-08-01,0.07967663309362351,5665493.836924355,2983990.1446533203,2.2038058042279074E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20180902,2018-09-02,0.07627217174294618,5828972.940470617,3073077.4717407227,2.232653546515606E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20180918,2018-09-18,0.05251318739798582,7981169.429222437,3377440.6226311177,2.4242310478286013E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20181105,2018-11-05,0.053642575022570325,8408814.44439099,3482718.843395278,2.5360482464319563E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20181121,2018-11-21,0.05405947685883557,7734835.236631147,2982175.398376465,2.644473651570523E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20181223,2018-12-23,0.05365213979097967,7657985.605256922,2235303.006713867,2.83323627201077E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20190124,2019-01-24,0.049325620850329724,8774420.80088034,1696855.7580159504,2.816252263397613E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20190329,2019-03-29,0.12017190352346967,2652522.77424819,7538704.210241459,2.5077693070874643E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20190601,2019-06-01,0.09763287918574168,3079857.524726419,2952486.250061035,2.1067884116125345E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20190820,2019-08-20,0.06778478903711103,5511351.100383445,3459095.431213379,2.460035861685262E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20190921,2019-09-21,0.07295258546480225,5254176.771435786,3450993.042907715,2.4545234396885842E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20191007,2019-10-07,0.06750013326638256,5967411.4290244905,3533783.554382324,2.4695282723126054E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20191108,2019-11-08,0.06067538188362272,5702184.922510963,2862490.554992676,2.560398567465102E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20191124,2019-11-24,0.05544056924929787,6059423.475503599,2839988.9296875,2.742136074352299E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20200111,2020-01-11,0.07601918494914794,4387359.039351879,1986883.343322754,2.902126567879045E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
